sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,day
2:23:43 AM,6:41:33 PM,10:32:38 AM,16:17:50,1:37:54 AM,7:27:22 PM,12:29:55 AM,8:35:22 PM,12:00:01 AM,12:00:01 AM,2020-05-27
2:22:44 AM,6:42:48 PM,10:32:46 AM,16:20:04,1:36:41 AM,7:28:51 PM,12:27:56 AM,8:37:36 PM,12:00:01 AM,12:00:01 AM,2020-05-28
2:21:48 AM,6:44:01 PM,10:32:54 AM,16:22:13,1:35:30 AM,7:30:18 PM,12:26:00 AM,8:39:48 PM,12:00:01 AM,12:00:01 AM,2020-05-29
2:20:55 AM,6:45:11 PM,10:33:03 AM,16:24:16,1:34:23 AM,7:31:43 PM,12:24:08 AM,8:41:58 PM,12:00:01 AM,12:00:01 AM,2020-05-30
2:20:04 AM,6:46:20 PM,10:33:12 AM,16:26:16,1:33:18 AM,7:33:05 PM,12:22:19 AM,8:44:04 PM,12:00:01 AM,12:00:01 AM,2020-05-31
2:19:16 AM,6:47:26 PM,10:33:21 AM,16:28:10,1:32:17 AM,7:34:25 PM,12:20:34 AM,8:46:08 PM,12:00:01 AM,12:00:01 AM,2020-06-01
2:18:32 AM,6:48:30 PM,10:33:31 AM,16:29:58,1:31:20 AM,7:35:42 PM,12:18:53 AM,8:48:09 PM,12:00:01 AM,12:00:01 AM,2020-06-02
2:17:50 AM,6:49:32 PM,10:33:41 AM,16:31:42,1:30:25 AM,7:36:57 PM,12:17:17 AM,8:50:06 PM,12:00:01 AM,12:00:01 AM,2020-06-03
2:17:11 AM,6:50:32 PM,10:33:52 AM,16:33:21,1:29:35 AM,7:38:09 PM,12:15:44 AM,8:51:59 PM,12:00:01 AM,12:00:01 AM,2020-06-04
2:16:36 AM,6:51:29 PM,10:34:03 AM,16:34:53,1:28:48 AM,7:39:17 PM,12:14:17 AM,8:53:48 PM,12:00:01 AM,12:00:01 AM,2020-06-05
2:16:03 AM,6:52:24 PM,10:34:14 AM,16:36:21,1:28:04 AM,7:40:23 PM,12:12:54 AM,8:55:33 PM,12:00:01 AM,12:00:01 AM,2020-06-06
2:15:33 AM,6:53:17 PM,10:34:25 AM,16:37:44,1:27:24 AM,7:41:26 PM,12:11:36 AM,8:57:14 PM,12:00:01 AM,12:00:01 AM,2020-06-07
2:15:07 AM,6:54:06 PM,10:34:37 AM,16:38:59,1:26:48 AM,7:42:25 PM,12:10:24 AM,8:58:49 PM,12:00:01 AM,12:00:01 AM,2020-06-08
2:14:44 AM,6:54:53 PM,10:34:49 AM,16:40:09,1:26:16 AM,7:43:21 PM,12:09:18 AM,9:00:19 PM,12:00:01 AM,12:00:01 AM,2020-06-09
2:14:24 AM,6:55:38 PM,10:35:01 AM,16:41:14,1:25:48 AM,7:44:14 PM,12:08:18 AM,9:01:44 PM,12:00:01 AM,12:00:01 AM,2020-06-10
2:14:07 AM,6:56:19 PM,10:35:13 AM,16:42:12,1:25:23 AM,7:45:03 PM,12:07:24 AM,9:03:03 PM,12:00:01 AM,12:00:01 AM,2020-06-11
2:13:53 AM,6:56:58 PM,10:35:26 AM,16:43:05,1:25:03 AM,7:45:49 PM,12:06:36 AM,9:04:15 PM,12:00:01 AM,12:00:01 AM,2020-06-12
2:13:42 AM,6:57:34 PM,10:35:38 AM,16:43:52,1:24:46 AM,7:46:31 PM,12:05:55 AM,9:05:22 PM,12:00:01 AM,12:00:01 AM,2020-06-13
2:13:35 AM,6:58:07 PM,10:35:51 AM,16:44:32,1:24:33 AM,7:47:09 PM,12:05:20 AM,9:06:21 PM,12:00:01 AM,12:00:01 AM,2020-06-14
2:13:31 AM,6:58:37 PM,10:36:04 AM,16:45:06,1:24:24 AM,7:47:43 PM,12:04:53 AM,9:07:14 PM,12:00:01 AM,12:00:01 AM,2020-06-15
2:13:30 AM,6:59:04 PM,10:36:17 AM,16:45:34,1:24:20 AM,7:48:14 PM,12:04:33 AM,9:08:00 PM,12:00:01 AM,12:00:01 AM,2020-06-16
2:13:32 AM,6:59:27 PM,10:36:30 AM,16:45:55,1:24:19 AM,7:48:41 PM,12:04:21 AM,9:08:39 PM,12:00:01 AM,12:00:01 AM,2020-06-17
2:13:38 AM,6:59:48 PM,10:36:43 AM,16:46:10,1:24:22 AM,7:49:04 PM,12:04:15 AM,9:09:11 PM,12:00:01 AM,12:00:01 AM,2020-06-18
2:13:46 AM,7:00:06 PM,10:36:56 AM,16:46:20,1:24:30 AM,7:49:22 PM,12:04:17 AM,9:09:35 PM,12:00:01 AM,12:00:01 AM,2020-06-19
2:13:58 AM,7:00:20 PM,10:37:09 AM,16:46:22,1:24:41 AM,7:49:37 PM,12:04:27 AM,9:09:51 PM,12:00:01 AM,12:00:01 AM,2020-06-20
2:14:13 AM,7:00:32 PM,10:37:22 AM,16:46:19,1:24:56 AM,7:49:48 PM,12:04:44 AM,9:10:00 PM,12:00:01 AM,12:00:01 AM,2020-06-21
2:14:30 AM,7:00:40 PM,10:37:35 AM,16:46:10,1:25:15 AM,7:49:55 PM,12:05:09 AM,9:10:01 PM,12:00:01 AM,12:00:01 AM,2020-06-22
2:14:51 AM,7:00:45 PM,10:37:48 AM,16:45:54,1:25:38 AM,7:49:58 PM,12:05:41 AM,9:09:55 PM,12:00:01 AM,12:00:01 AM,2020-06-23
2:15:15 AM,7:00:46 PM,10:38:01 AM,16:45:31,1:26:05 AM,7:49:56 PM,12:06:20 AM,9:09:42 PM,12:00:01 AM,12:00:01 AM,2020-06-24
2:15:42 AM,7:00:45 PM,10:38:13 AM,16:45:03,1:26:36 AM,7:49:51 PM,12:07:06 AM,9:09:21 PM,12:00:01 AM,12:00:01 AM,2020-06-25
2:16:12 AM,7:00:40 PM,10:38:26 AM,16:44:28,1:27:10 AM,7:49:42 PM,12:07:59 AM,9:08:53 PM,12:00:01 AM,12:00:01 AM,2020-06-26
2:16:45 AM,7:00:32 PM,10:38:38 AM,16:43:47,1:27:48 AM,7:49:28 PM,12:08:59 AM,9:08:17 PM,12:00:01 AM,12:00:01 AM,2020-06-27
2:17:20 AM,7:00:21 PM,10:38:50 AM,16:43:01,1:28:30 AM,7:49:11 PM,12:10:06 AM,9:07:35 PM,12:00:01 AM,12:00:01 AM,2020-06-28
2:17:59 AM,7:00:06 PM,10:39:02 AM,16:42:07,1:29:15 AM,7:48:49 PM,12:11:18 AM,9:06:47 PM,12:00:01 AM,12:00:01 AM,2020-06-29
2:18:40 AM,6:59:48 PM,10:39:14 AM,16:41:08,1:30:04 AM,7:48:24 PM,12:12:37 AM,9:05:52 PM,12:00:01 AM,12:00:01 AM,2020-06-30
2:19:24 AM,6:59:28 PM,10:39:26 AM,16:40:04,1:30:56 AM,7:47:55 PM,12:14:01 AM,9:04:50 PM,12:00:01 AM,12:00:01 AM,2020-07-01
2:20:10 AM,6:59:03 PM,10:39:37 AM,16:38:53,1:31:52 AM,7:47:22 PM,12:15:30 AM,9:03:43 PM,12:00:01 AM,12:00:01 AM,2020-07-02
2:20:59 AM,6:58:36 PM,10:39:48 AM,16:37:37,1:32:50 AM,7:46:45 PM,12:17:05 AM,9:02:30 PM,12:00:01 AM,12:00:01 AM,2020-07-03
2:21:50 AM,6:58:06 PM,10:39:58 AM,16:36:16,1:33:52 AM,7:46:04 PM,12:18:45 AM,9:01:11 PM,12:00:01 AM,12:00:01 AM,2020-07-04
2:22:44 AM,6:57:32 PM,10:40:08 AM,16:34:48,1:34:57 AM,7:45:19 PM,12:20:29 AM,8:59:48 PM,12:00:01 AM,12:00:01 AM,2020-07-05
2:23:41 AM,6:56:55 PM,10:40:18 AM,16:33:14,1:36:05 AM,7:44:31 PM,12:22:17 AM,8:58:19 PM,12:00:01 AM,12:00:01 AM,2020-07-06
2:24:39 AM,6:56:16 PM,10:40:27 AM,16:31:37,1:37:15 AM,7:43:40 PM,12:24:09 AM,8:56:46 PM,12:00:01 AM,12:00:01 AM,2020-07-07
2:25:40 AM,6:55:33 PM,10:40:36 AM,16:29:53,1:38:28 AM,7:42:44 PM,12:26:04 AM,8:55:08 PM,12:00:01 AM,12:00:01 AM,2020-07-08
2:26:43 AM,6:54:47 PM,10:40:45 AM,16:28:04,1:39:44 AM,7:41:46 PM,12:28:03 AM,8:53:27 PM,12:00:01 AM,12:00:01 AM,2020-07-09
2:27:48 AM,6:53:58 PM,10:40:53 AM,16:26:10,1:41:03 AM,7:40:44 PM,12:30:06 AM,8:51:41 PM,12:00:01 AM,12:00:01 AM,2020-07-10
2:28:55 AM,6:53:07 PM,10:41:01 AM,16:24:12,1:42:23 AM,7:39:39 PM,12:32:11 AM,8:49:51 PM,12:00:01 AM,12:00:01 AM,2020-07-11
2:30:04 AM,6:52:12 PM,10:41:08 AM,16:22:08,1:43:46 AM,7:38:30 PM,12:34:18 AM,8:47:58 PM,12:00:01 AM,12:00:01 AM,2020-07-12
2:31:15 AM,6:51:15 PM,10:41:15 AM,16:20:00,1:45:12 AM,7:37:18 PM,12:36:28 AM,8:46:02 PM,12:00:01 AM,12:00:01 AM,2020-07-13
2:32:28 AM,6:50:15 PM,10:41:21 AM,16:17:47,1:46:39 AM,7:36:04 PM,12:38:40 AM,8:44:02 PM,12:00:01 AM,12:00:01 AM,2020-07-14
2:33:42 AM,6:49:12 PM,10:41:27 AM,16:15:30,1:48:08 AM,7:34:46 PM,12:40:54 AM,8:42:00 PM,12:00:01 AM,12:00:01 AM,2020-07-15
2:34:58 AM,6:48:06 PM,10:41:32 AM,16:13:08,1:49:39 AM,7:33:25 PM,12:43:10 AM,8:39:55 PM,12:00:01 AM,12:00:01 AM,2020-07-16
2:36:16 AM,6:46:58 PM,10:41:37 AM,16:10:42,1:51:12 AM,7:32:02 PM,12:45:27 AM,8:37:47 PM,12:00:01 AM,12:00:01 AM,2020-07-17
2:37:35 AM,6:45:47 PM,10:41:41 AM,16:08:12,1:52:47 AM,7:30:36 PM,12:47:46 AM,8:35:37 PM,12:00:01 AM,12:00:01 AM,2020-07-18
2:38:56 AM,6:44:34 PM,10:41:45 AM,16:05:38,1:54:23 AM,7:29:07 PM,12:50:05 AM,8:33:24 PM,12:00:01 AM,12:00:01 AM,2020-07-19
2:40:18 AM,6:43:18 PM,10:41:48 AM,16:03:00,1:56:01 AM,7:27:35 PM,12:52:26 AM,8:31:10 PM,12:00:01 AM,12:00:01 AM,2020-07-20
2:41:41 AM,6:42:00 PM,10:41:50 AM,16:00:19,1:57:40 AM,7:26:01 PM,12:54:48 AM,8:28:53 PM,12:00:01 AM,12:00:01 AM,2020-07-21
2:43:05 AM,6:40:39 PM,10:41:52 AM,15:57:34,1:59:20 AM,7:24:25 PM,12:57:10 AM,8:26:35 PM,12:00:01 AM,12:00:01 AM,2020-07-22
2:44:31 AM,6:39:16 PM,10:41:54 AM,15:54:45,2:01:01 AM,7:22:46 PM,12:59:33 AM,8:24:14 PM,12:00:01 AM,12:00:01 AM,2020-07-23
2:45:58 AM,6:37:51 PM,10:41:55 AM,15:51:53,2:02:44 AM,7:21:05 PM,1:01:57 AM,8:21:52 PM,11:06:45 PM,10:17:04 PM,2020-07-24
2:47:26 AM,6:36:24 PM,10:41:55 AM,15:48:58,2:04:27 AM,7:19:22 PM,1:04:21 AM,8:19:29 PM,11:17:39 PM,10:06:10 PM,2020-07-25
2:48:54 AM,6:34:54 PM,10:41:54 AM,15:46:00,2:06:12 AM,7:17:37 PM,1:06:45 AM,8:17:04 PM,11:26:06 PM,9:57:42 PM,2020-07-26
2:50:24 AM,6:33:22 PM,10:41:53 AM,15:42:58,2:07:57 AM,7:15:49 PM,1:09:09 AM,8:14:38 PM,11:33:19 PM,9:50:28 PM,2020-07-27
2:51:55 AM,6:31:49 PM,10:41:52 AM,15:39:54,2:09:43 AM,7:14:00 PM,1:11:33 AM,8:12:10 PM,11:39:44 PM,9:43:59 PM,2020-07-28
2:53:26 AM,6:30:13 PM,10:41:49 AM,15:36:47,2:11:30 AM,7:12:09 PM,1:13:57 AM,8:09:41 PM,11:45:36 PM,9:38:03 PM,2020-07-29
2:54:58 AM,6:28:35 PM,10:41:46 AM,15:33:37,2:13:18 AM,7:10:15 PM,1:16:21 AM,8:07:12 PM,11:51:03 PM,9:32:29 PM,2020-07-30
2:56:31 AM,6:26:55 PM,10:41:43 AM,15:30:24,2:15:06 AM,7:08:21 PM,1:18:45 AM,8:04:41 PM,11:56:11 PM,9:27:15 PM,2020-07-31
2:58:04 AM,6:25:14 PM,10:41:39 AM,15:27:10,2:16:54 AM,7:06:24 PM,1:21:09 AM,8:02:09 PM,12:01:03 AM,9:22:15 PM,2020-08-01
2:59:38 AM,6:23:30 PM,10:41:34 AM,15:23:52,2:18:43 AM,7:04:26 PM,1:23:32 AM,7:59:37 PM,12:05:42 AM,9:17:27 PM,2020-08-02
3:01:13 AM,6:21:45 PM,10:41:29 AM,15:20:32,2:20:32 AM,7:02:26 PM,1:25:55 AM,7:57:03 PM,12:10:09 AM,9:12:49 PM,2020-08-03
3:02:48 AM,6:19:58 PM,10:41:23 AM,15:17:10,2:22:22 AM,7:00:24 PM,1:28:17 AM,7:54:29 PM,12:14:26 AM,9:08:20 PM,2020-08-04
3:04:23 AM,6:18:10 PM,10:41:17 AM,15:13:47,2:24:12 AM,6:58:21 PM,1:30:39 AM,7:51:54 PM,12:18:34 AM,9:03:59 PM,2020-08-05
3:05:59 AM,6:16:20 PM,10:41:10 AM,15:10:21,2:26:02 AM,6:56:17 PM,1:33:01 AM,7:49:18 PM,12:22:35 AM,8:59:45 PM,2020-08-06
3:07:36 AM,6:14:28 PM,10:41:02 AM,15:06:52,2:27:52 AM,6:54:12 PM,1:35:22 AM,7:46:42 PM,12:26:28 AM,8:55:36 PM,2020-08-07
3:09:12 AM,6:12:35 PM,10:40:54 AM,15:03:23,2:29:43 AM,6:52:05 PM,1:37:42 AM,7:44:06 PM,12:30:15 AM,8:51:32 PM,2020-08-08
3:10:49 AM,6:10:41 PM,10:40:45 AM,14:59:52,2:31:33 AM,6:49:57 PM,1:40:01 AM,7:41:28 PM,12:33:56 AM,8:47:33 PM,2020-08-09
3:12:26 AM,6:08:45 PM,10:40:35 AM,14:56:19,2:33:24 AM,6:47:47 PM,1:42:20 AM,7:38:51 PM,12:37:32 AM,8:43:39 PM,2020-08-10
3:14:04 AM,6:06:47 PM,10:40:25 AM,14:52:43,2:35:14 AM,6:45:37 PM,1:44:38 AM,7:36:13 PM,12:41:03 AM,8:39:48 PM,2020-08-11
3:15:41 AM,6:04:48 PM,10:40:15 AM,14:49:07,2:37:05 AM,6:43:25 PM,1:46:56 AM,7:33:34 PM,12:44:29 AM,8:36:01 PM,2020-08-12
3:17:19 AM,6:02:48 PM,10:40:04 AM,14:45:29,2:38:55 AM,6:41:13 PM,1:49:12 AM,7:30:56 PM,12:47:51 AM,8:32:17 PM,2020-08-13
3:18:57 AM,6:00:47 PM,10:39:52 AM,14:41:50,2:40:45 AM,6:38:59 PM,1:51:28 AM,7:28:17 PM,12:51:08 AM,8:28:36 PM,2020-08-14
3:20:35 AM,5:58:45 PM,10:39:40 AM,14:38:10,2:42:36 AM,6:36:45 PM,1:53:43 AM,7:25:37 PM,12:54:22 AM,8:24:58 PM,2020-08-15
3:22:14 AM,5:56:41 PM,10:39:27 AM,14:34:27,2:44:26 AM,6:34:29 PM,1:55:57 AM,7:22:58 PM,12:57:32 AM,8:21:23 PM,2020-08-16
3:23:52 AM,5:54:36 PM,10:39:14 AM,14:30:44,2:46:16 AM,6:32:13 PM,1:58:10 AM,7:20:18 PM,1:00:39 AM,8:17:50 PM,2020-08-17
3:25:31 AM,5:52:31 PM,10:39:01 AM,14:27:00,2:48:05 AM,6:29:56 PM,2:00:23 AM,7:17:38 PM,1:03:42 AM,8:14:19 PM,2020-08-18
3:27:09 AM,5:50:24 PM,10:38:46 AM,14:23:15,2:49:55 AM,6:27:38 PM,2:02:35 AM,7:14:58 PM,1:06:42 AM,8:10:51 PM,2020-08-19
3:28:48 AM,5:48:16 PM,10:38:32 AM,14:19:28,2:51:44 AM,6:25:20 PM,2:04:45 AM,7:12:18 PM,1:09:39 AM,8:07:25 PM,2020-08-20
3:30:26 AM,5:46:07 PM,10:38:17 AM,14:15:41,2:53:33 AM,6:23:00 PM,2:06:55 AM,7:09:38 PM,1:12:33 AM,8:04:01 PM,2020-08-21
3:32:05 AM,5:43:58 PM,10:38:01 AM,14:11:53,2:55:22 AM,6:20:40 PM,2:09:04 AM,7:06:58 PM,1:15:24 AM,8:00:38 PM,2020-08-22
3:33:43 AM,5:41:47 PM,10:37:45 AM,14:08:04,2:57:10 AM,6:18:20 PM,2:11:12 AM,7:04:18 PM,1:18:13 AM,7:57:18 PM,2020-08-23
3:35:22 AM,5:39:36 PM,10:37:29 AM,14:04:14,2:58:58 AM,6:15:59 PM,2:13:20 AM,7:01:38 PM,1:20:59 AM,7:53:59 PM,2020-08-24
3:37:00 AM,5:37:23 PM,10:37:12 AM,14:00:23,3:00:46 AM,6:13:37 PM,2:15:26 AM,6:58:58 PM,1:23:42 AM,7:50:42 PM,2020-08-25
3:38:39 AM,5:35:10 PM,10:36:55 AM,13:56:31,3:02:34 AM,6:11:15 PM,2:17:32 AM,6:56:18 PM,1:26:23 AM,7:47:26 PM,2020-08-26
3:40:18 AM,5:32:57 PM,10:36:37 AM,13:52:39,3:04:21 AM,6:08:53 PM,2:19:37 AM,6:53:38 PM,1:29:02 AM,7:44:13 PM,2020-08-27
3:41:56 AM,5:30:42 PM,10:36:19 AM,13:48:46,3:06:08 AM,6:06:30 PM,2:21:40 AM,6:50:58 PM,1:31:38 AM,7:41:00 PM,2020-08-28
3:43:35 AM,5:28:27 PM,10:36:01 AM,13:44:52,3:07:55 AM,6:04:07 PM,2:23:43 AM,6:48:18 PM,1:34:13 AM,7:37:49 PM,2020-08-29
3:45:13 AM,5:26:12 PM,10:35:42 AM,13:40:59,3:09:42 AM,6:01:43 PM,2:25:46 AM,6:45:39 PM,1:36:45 AM,7:34:40 PM,2020-08-30
3:46:52 AM,5:23:55 PM,10:35:23 AM,13:37:03,3:11:28 AM,5:59:19 PM,2:27:47 AM,6:43:00 PM,1:39:15 AM,7:31:32 PM,2020-08-31
3:48:30 AM,5:21:38 PM,10:35:04 AM,13:33:08,3:13:14 AM,5:56:55 PM,2:29:48 AM,6:40:21 PM,1:41:43 AM,7:28:25 PM,2020-09-01
3:50:08 AM,5:19:21 PM,10:34:45 AM,13:29:13,3:14:59 AM,5:54:30 PM,2:31:47 AM,6:37:42 PM,1:44:10 AM,7:25:20 PM,2020-09-02
3:51:47 AM,5:17:03 PM,10:34:25 AM,13:25:16,3:16:44 AM,5:52:06 PM,2:33:46 AM,6:35:04 PM,1:46:34 AM,7:22:16 PM,2020-09-03
3:53:25 AM,5:14:45 PM,10:34:05 AM,13:21:20,3:18:29 AM,5:49:41 PM,2:35:45 AM,6:32:25 PM,1:48:57 AM,7:19:13 PM,2020-09-04
3:55:03 AM,5:12:26 PM,10:33:45 AM,13:17:23,3:20:14 AM,5:47:16 PM,2:37:42 AM,6:29:48 PM,1:51:18 AM,7:16:12 PM,2020-09-05
3:56:42 AM,5:10:07 PM,10:33:24 AM,13:13:25,3:21:58 AM,5:44:50 PM,2:39:39 AM,6:27:10 PM,1:53:37 AM,7:13:12 PM,2020-09-06
3:58:20 AM,5:07:47 PM,10:33:04 AM,13:09:27,3:23:42 AM,5:42:25 PM,2:41:35 AM,6:24:33 PM,1:55:55 AM,7:10:13 PM,2020-09-07
3:59:58 AM,5:05:28 PM,10:32:43 AM,13:05:30,3:25:26 AM,5:40:00 PM,2:43:30 AM,6:21:56 PM,1:58:11 AM,7:07:15 PM,2020-09-08
4:01:37 AM,5:03:07 PM,10:32:22 AM,13:01:30,3:27:10 AM,5:37:34 PM,2:45:24 AM,6:19:20 PM,2:00:25 AM,7:04:19 PM,2020-09-09
4:03:15 AM,5:00:47 PM,10:32:01 AM,12:57:32,3:28:53 AM,5:35:09 PM,2:47:18 AM,6:16:44 PM,2:02:39 AM,7:01:23 PM,2020-09-10
4:04:53 AM,4:58:26 PM,10:31:40 AM,12:53:33,3:30:36 AM,5:32:44 PM,2:49:11 AM,6:14:08 PM,2:04:50 AM,6:58:29 PM,2020-09-11
4:06:32 AM,4:56:05 PM,10:31:19 AM,12:49:33,3:32:19 AM,5:30:18 PM,2:51:04 AM,6:11:33 PM,2:07:00 AM,6:55:37 PM,2020-09-12
4:08:10 AM,4:53:44 PM,10:30:57 AM,12:45:34,3:34:01 AM,5:27:53 PM,2:52:56 AM,6:08:59 PM,2:09:09 AM,6:52:45 PM,2020-09-13
4:09:49 AM,4:51:23 PM,10:30:36 AM,12:41:34,3:35:44 AM,5:25:28 PM,2:54:47 AM,6:06:25 PM,2:11:17 AM,6:49:55 PM,2020-09-14
4:11:27 AM,4:49:02 PM,10:30:14 AM,12:37:35,3:37:26 AM,5:23:03 PM,2:56:38 AM,6:03:51 PM,2:13:23 AM,6:47:06 PM,2020-09-15
4:13:06 AM,4:46:40 PM,10:29:53 AM,12:33:34,3:39:08 AM,5:20:38 PM,2:58:28 AM,6:01:18 PM,2:15:28 AM,6:44:18 PM,2020-09-16
4:14:44 AM,4:44:19 PM,10:29:31 AM,12:29:35,3:40:50 AM,5:18:13 PM,3:00:17 AM,5:58:46 PM,2:17:32 AM,6:41:31 PM,2020-09-17
4:16:23 AM,4:41:57 PM,10:29:10 AM,12:25:34,3:42:31 AM,5:15:49 PM,3:02:06 AM,5:56:14 PM,2:19:35 AM,6:38:46 PM,2020-09-18
4:18:02 AM,4:39:35 PM,10:28:49 AM,12:21:33,3:44:13 AM,5:13:25 PM,3:03:55 AM,5:53:43 PM,2:21:36 AM,6:36:01 PM,2020-09-19
4:19:41 AM,4:37:14 PM,10:28:27 AM,12:17:33,3:45:54 AM,5:11:01 PM,3:05:42 AM,5:51:12 PM,2:23:37 AM,6:33:18 PM,2020-09-20
4:21:20 AM,4:34:52 PM,10:28:06 AM,12:13:32,3:47:35 AM,5:08:37 PM,3:07:30 AM,5:48:43 PM,2:25:36 AM,6:30:36 PM,2020-09-21
4:23:00 AM,4:32:31 PM,10:27:45 AM,12:09:31,3:49:16 AM,5:06:14 PM,3:09:17 AM,5:46:13 PM,2:27:34 AM,6:27:56 PM,2020-09-22
4:24:39 AM,4:30:09 PM,10:27:24 AM,12:05:30,3:50:57 AM,5:03:51 PM,3:11:03 AM,5:43:45 PM,2:29:32 AM,6:25:16 PM,2020-09-23
4:26:19 AM,4:27:48 PM,10:27:03 AM,12:01:29,3:52:38 AM,5:01:28 PM,3:12:49 AM,5:41:17 PM,2:31:28 AM,6:22:38 PM,2020-09-24
4:27:58 AM,4:25:27 PM,10:26:43 AM,11:57:29,3:54:19 AM,4:59:06 PM,3:14:35 AM,5:38:50 PM,2:33:24 AM,6:20:01 PM,2020-09-25
4:29:38 AM,4:23:06 PM,10:26:22 AM,11:53:28,3:56:00 AM,4:56:45 PM,3:16:20 AM,5:36:24 PM,2:35:18 AM,6:17:26 PM,2020-09-26
4:31:18 AM,4:20:45 PM,10:26:02 AM,11:49:27,3:57:41 AM,4:54:23 PM,3:18:05 AM,5:33:59 PM,2:37:12 AM,6:14:52 PM,2020-09-27
4:32:59 AM,4:18:25 PM,10:25:42 AM,11:45:26,3:59:21 AM,4:52:03 PM,3:19:49 AM,5:31:35 PM,2:39:05 AM,6:12:19 PM,2020-09-28
4:34:39 AM,4:16:05 PM,10:25:22 AM,11:41:26,4:01:02 AM,4:49:42 PM,3:21:33 AM,5:29:11 PM,2:40:57 AM,6:09:47 PM,2020-09-29
4:36:20 AM,4:13:45 PM,10:25:03 AM,11:37:25,4:02:42 AM,4:47:23 PM,3:23:17 AM,5:26:48 PM,2:42:49 AM,6:07:16 PM,2020-09-30
4:38:01 AM,4:11:26 PM,10:24:43 AM,11:33:25,4:04:23 AM,4:45:04 PM,3:25:00 AM,5:24:26 PM,2:44:39 AM,6:04:47 PM,2020-10-01
4:39:42 AM,4:09:07 PM,10:24:25 AM,11:29:25,4:06:04 AM,4:42:45 PM,3:26:44 AM,5:22:05 PM,2:46:29 AM,6:02:20 PM,2020-10-02
4:41:24 AM,4:06:48 PM,10:24:06 AM,11:25:24,4:07:44 AM,4:40:28 PM,3:28:26 AM,5:19:46 PM,2:48:19 AM,5:59:53 PM,2020-10-03
4:43:06 AM,4:04:30 PM,10:23:48 AM,11:21:24,4:09:25 AM,4:38:11 PM,3:30:09 AM,5:17:27 PM,2:50:07 AM,5:57:28 PM,2020-10-04
4:44:48 AM,4:02:12 PM,10:23:30 AM,11:17:24,4:11:05 AM,4:35:54 PM,3:31:51 AM,5:15:09 PM,2:51:55 AM,5:55:05 PM,2020-10-05
4:46:30 AM,3:59:55 PM,10:23:12 AM,11:13:25,4:12:46 AM,4:33:39 PM,3:33:33 AM,5:12:52 PM,2:53:42 AM,5:52:43 PM,2020-10-06
4:48:13 AM,3:57:38 PM,10:22:55 AM,11:09:25,4:14:27 AM,4:31:24 PM,3:35:15 AM,5:10:36 PM,2:55:29 AM,5:50:22 PM,2020-10-07
4:49:56 AM,3:55:22 PM,10:22:39 AM,11:05:26,4:16:08 AM,4:29:10 PM,3:36:56 AM,5:08:21 PM,2:57:15 AM,5:48:03 PM,2020-10-08
4:51:39 AM,3:53:06 PM,10:22:23 AM,11:01:27,4:17:49 AM,4:26:57 PM,3:38:38 AM,5:06:08 PM,2:59:00 AM,5:45:45 PM,2020-10-09
4:53:23 AM,3:50:51 PM,10:22:07 AM,10:57:28,4:19:29 AM,4:24:44 PM,3:40:19 AM,5:03:55 PM,3:00:45 AM,5:43:29 PM,2020-10-10
4:55:06 AM,3:48:37 PM,10:21:52 AM,10:53:31,4:21:10 AM,4:22:33 PM,3:42:00 AM,5:01:44 PM,3:02:30 AM,5:41:14 PM,2020-10-11
4:56:51 AM,3:46:24 PM,10:21:37 AM,10:49:33,4:22:51 AM,4:20:23 PM,3:43:40 AM,4:59:34 PM,3:04:14 AM,5:39:01 PM,2020-10-12
4:58:35 AM,3:44:11 PM,10:21:23 AM,10:45:36,4:24:33 AM,4:18:13 PM,3:45:21 AM,4:57:25 PM,3:05:57 AM,5:36:49 PM,2020-10-13
5:00:20 AM,3:41:59 PM,10:21:09 AM,10:41:39,4:26:14 AM,4:16:05 PM,3:47:01 AM,4:55:17 PM,3:07:40 AM,5:34:39 PM,2020-10-14
5:02:05 AM,3:39:48 PM,10:20:56 AM,10:37:43,4:27:55 AM,4:13:57 PM,3:48:41 AM,4:53:11 PM,3:09:22 AM,5:32:30 PM,2020-10-15
5:03:50 AM,3:37:37 PM,10:20:44 AM,10:33:47,4:29:37 AM,4:11:51 PM,3:50:21 AM,4:51:06 PM,3:11:04 AM,5:30:23 PM,2020-10-16
5:05:36 AM,3:35:28 PM,10:20:32 AM,10:29:52,4:31:18 AM,4:09:46 PM,3:52:01 AM,4:49:03 PM,3:12:46 AM,5:28:18 PM,2020-10-17
5:07:22 AM,3:33:19 PM,10:20:21 AM,10:25:57,4:33:00 AM,4:07:42 PM,3:53:40 AM,4:47:01 PM,3:14:27 AM,5:26:14 PM,2020-10-18
5:09:08 AM,3:31:12 PM,10:20:10 AM,10:22:04,4:34:41 AM,4:05:39 PM,3:55:20 AM,4:45:00 PM,3:16:07 AM,5:24:13 PM,2020-10-19
5:10:55 AM,3:29:05 PM,10:20:00 AM,10:18:10,4:36:23 AM,4:03:37 PM,3:56:59 AM,4:43:01 PM,3:17:47 AM,5:22:12 PM,2020-10-20
5:12:41 AM,3:27:00 PM,10:19:51 AM,10:14:19,4:38:05 AM,4:01:37 PM,3:58:38 AM,4:41:03 PM,3:19:27 AM,5:20:14 PM,2020-10-21
